tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
115	"Chlorimuron, Ethyl-"	90982-32-4	NV	Other Organic Chemicals	8
116	Chlorine	7782-50-5	V	Undefined	1
117	Chlorine Dioxide	10049-04-4	V	Undefined	1
118	Chlorite (Sodium Salt)	7758-19-2	NV	Undefined	1
119	"Chloro-1,1-difluoroethane, 1-"	75-68-3	V	Undefined	1
120	"Chloro-1,3-butadiene, 2-"	126-99-8	V	Undefined	1
121	"Chloro-2-methylaniline HCl, 4-"	3165-93-3	NV	Other Organic Chemicals	8
122	"Chloro-2-methylaniline, 4-"	95-69-2	NV	Other Organic Chemicals	8
123	"Chloroacetaldehyde, 2-"	107-20-0	V	Undefined	1
124	Chloroacetic Acid	79-11-8	NV	Other Organic Chemicals	8
125	"Chloroacetophenone, 2-"	532-27-4	NV	Other Organic Chemicals	8
126	"Chloroaniline, p-"	106-47-8	NV	Other Organic Chemicals	8
127	Chlorobenzene	108-90-7	V	Undefined	1
128	"Chlorobenzene sulfonic acid, p-"	98-66-8	NV	Other Organic Chemicals	8
129	Chlorobenzilate	510-15-6	NV	Other Organic Chemicals	8
130	"Chlorobenzoic Acid, p-"	74-11-3	NV	Other Organic Chemicals	8
131	"Chlorobenzotrifluoride, 4-"	98-56-6	V	Undefined	1
132	"Chlorobutane, 1-"	109-69-3	V	Undefined	1
133	Chlorodifluoromethane	75-45-6	V	Undefined	1
134	"Chloroethanol, 2-"	107-07-3	V	Undefined	1
135	Chloroform	67-66-3	V	Undefined	1
136	Chloromethane	74-87-3	V	Undefined	1
137	Chloromethyl Methyl Ether	107-30-2	V	Undefined	1
138	"Chloronitrobenzene, o-"	88-73-3	NV	Other Organic Chemicals	8
139	"Chloronitrobenzene, p-"	100-00-5	NV	Other Organic Chemicals	8
140	"Chlorophenol, 2-"	95-57-8	V	Undefined	1
141	Chloropicrin	76-06-2	V	Undefined	1
142	Chlorothalonil	1897-45-6	NV	Other Organic Chemicals	8
143	"Chlorotoluene, o-"	95-49-8	V	Undefined	1
144	"Chlorotoluene, p-"	106-43-4	V	Undefined	1
145	Chlorozotocin	54749-90-5	NV	Other Organic Chemicals	8
146	Chlorpropham	101-21-3	NV	Other Organic Chemicals	8
147	Chlorpyrifos	2921-88-2	NV	Organophosphates	4
148	Chlorpyrifos Methyl	5598-13-0	NV	Organophosphates	4
149	Chlorsulfuron	64902-72-3	NV	Other Organic Chemicals	8
150	Chlorthal-dimethyl	1861-32-1	NV	Other Organic Chemicals	8
151	Chlorthiophos	60238-56-4	NV	Other Organic Chemicals	8
152	"Chromium(III), Insoluble Salts"	16065-83-1	NV	Other metals and complexed cyanides	12
153	Chromium(VI)	18540-29-9	NV	Hexavalent Chromium	11
154	Clofentezine	74115-24-5	NV	Other Organic Chemicals	8
155	Cobalt	7440-48-4	NV	Other metals and complexed cyanides	12
156	Coke Oven Emissions	8007-45-2	V	Undefined	1
157	Copper	7440-50-8	NV	Other metals and complexed cyanides	12
158	"Cresol, m-"	108-39-4	NV	Other Organic Chemicals	8
159	"Cresol, o-"	95-48-7	NV	Other Organic Chemicals	8
160	"Cresol, p-"	106-44-5	NV	Other Organic Chemicals	8
161	"Cresol, p-chloro-m-"	59-50-7	NV	Other Organic Chemicals	8
162	Cresols	1319-77-3	NV	Other Organic Chemicals	8
163	"Crotonaldehyde, trans-"	123-73-9	V	Undefined	1
164	Cumene	98-82-8	V	Undefined	1
165	Cupferron	135-20-6	NV	Other Organic Chemicals	8
166	Cyanazine	21725-46-2	NV	Other Organic Chemicals	8
167	Calcium Cyanide	592-01-8	NV	Other metals and complexed cyanides	12
168	Copper Cyanide	544-92-3	NV	Other metals and complexed cyanides	12
169	Cyanide (CN-)	57-12-5	V	Free Cyanide	13
170	Cyanogen	460-19-5	V	Other metals and complexed cyanides	12
171	Cyanogen Bromide	506-68-3	V	Other metals and complexed cyanides	12
172	Cyanogen Chloride	506-77-4	V	Other metals and complexed cyanides	12
173	Hydrogen Cyanide	74-90-8	V	Other metals and complexed cyanides	12
174	Potassium Cyanide	151-50-8	NV	Other metals and complexed cyanides	12
175	Potassium Silver Cyanide	506-61-6	NV	Other metals and complexed cyanides	12
176	Silver Cyanide	506-64-9	NV	Other metals and complexed cyanides	12
177	Sodium Cyanide	143-33-9	NV	Other metals and complexed cyanides	12
178	Thiocyanates	E1790664	NV	Other metals and complexed cyanides	12
179	Thiocyanic Acid	463-56-9	V	Other metals and complexed cyanides	12
180	Zinc Cyanide	557-21-1	NV	Other metals and complexed cyanides	12
181	Cyclohexane	110-82-7	V	Undefined	1
182	"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-"	87-84-3	NV	Other Organic Chemicals	8
183	Cyclohexanone	108-94-1	V	Undefined	1
184	Cyclohexene	110-83-8	V	Undefined	1
185	Cyclohexylamine	108-91-8	V	Undefined	1
186	Cyfluthrin	68359-37-5	NV	Other Organic Chemicals	8
187	Cyhalothrin	68085-85-8	NV	Other Organic Chemicals	8
188	Cypermethrin	52315-07-8	NV	Other Organic Chemicals	8
189	Cyromazine	66215-27-8	NV	Other Organic Chemicals	8
190	DDD	72-54-8	NV	Chlorinated Insecticides	2
191	"DDE, p,p'-"	72-55-9	V	Chlorinated Insecticides	2
192	DDT	50-29-3	NV	Chlorinated Insecticides	2
193	Dalapon	75-99-0	NV	Other Organic Chemicals	8
194	Daminozide	1596-84-5	NV	Other Organic Chemicals	8
195	"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)"	1163-19-5	NV	Other Organic Chemicals	8
196	Demeton	8065-48-3	NV	Other Organic Chemicals	8
197	Di(2-ethylhexyl)adipate	103-23-1	NV	Other Organic Chemicals	8
198	Diallate	2303-16-4	NV	Other Organic Chemicals	8
199	Diazinon	333-41-5	NV	Organophosphates	4
200	Dibenzothiophene	132-65-0	V	Undefined	1
201	"Dibromo-3-chloropropane, 1,2-"	96-12-8	V	Undefined	1
202	"Dibromobenzene, 1,3-"	108-36-1	V	Undefined	1
203	"Dibromobenzene, 1,4-"	106-37-6	V	Undefined	1
204	Dibromochloromethane	124-48-1	V	Undefined	1
205	"Dibromoethane, 1,2-"	106-93-4	V	Undefined	1
206	Dibromomethane (Methylene Bromide)	74-95-3	V	Undefined	1
207	Dibutyltin Compounds	E1790660	NV	Other Organic Chemicals	8
208	Dicamba	1918-00-9	NV	Other Organic Chemicals	8
209	"Dichloro-2-butene, 1,4-"	764-41-0	V	Undefined	1
210	"Dichloro-2-butene, cis-1,4-"	1476-11-5	V	Undefined	1
211	"Dichloro-2-butene, trans-1,4-"	110-57-6	V	Undefined	1
212	Dichloroacetic Acid	79-43-6	NV	Other Organic Chemicals	8
213	"Dichlorobenzene, 1,2-"	95-50-1	V	Undefined	1
